original,augmented,graph_type,complexity
"Aggregate Demand and Supply Analysis, Economic Model Diagram, elements: Two axes labeled 'Price level' and 'Real GDP per year'. Lines representing AD and SRAS for 1929 and 1933, LRAS as a vertical line, with points of intersection indicating equilibrium. Price levels P1929 and P1933 indicated with horizontal dashed lines.","Aggregate Demand and Supply Analysis, Economic Model Diagram, elements: Two axes labeled 'Price level' and 'Real GDP per year'. Lines representing AD and SRAS for 1929 and 1933, LRAS as a vertical line, with points of intersection indicating equilibrium. Price levels P1929 and P1933 indicated with horizontal dashed lines. [Visual Analysis: dense, complex | Nodes: 12, Edges: 45]",dense,complex
"Tax Rate Impact on Revenues, Curved Graph, elements: Curved graph with Tax Rate on the vertical axis (0% to 100%) and Revenues ($) on the horizontal axis. A shaded area indicates prohibitive tax rates affecting revenues.","Tax Rate Impact on Revenues, Curved Graph, elements: Curved graph with Tax Rate on the vertical axis (0% to 100%) and Revenues ($) on the horizontal axis. A shaded area indicates prohibitive tax rates affecting revenues. [Visual Analysis: dense, complex | Nodes: 9, Edges: 35]",dense,complex
"ADDIE Model, Flowchart, elements: Circular flow with five labeled steps: 01 Analysis, 02 Design, 03 Development, 04 Implementation, 05 Evaluation, interconnected with arrows.","ADDIE Model, Flowchart, elements: Circular flow with five labeled steps: 01 Analysis, 02 Design, 03 Development, 04 Implementation, 05 Evaluation, interconnected with arrows. [Visual Analysis: dense, complex | Nodes: 17, Edges: 116]",dense,complex
"PESTLE Analysis Model Framework, Circular Flow Diagram, elements: Central circle labeled 'PESTLE ANALYSIS' with six surrounding circles representing factors: Political, Economic, Social, Technological, Legal, and Environmental.","PESTLE Analysis Model Framework, Circular Flow Diagram, elements: Central circle labeled 'PESTLE ANALYSIS' with six surrounding circles representing factors: Political, Economic, Social, Technological, Legal, and Environmental. [Visual Analysis: dense, complex | Nodes: 11, Edges: 102]",dense,complex
"Maslow's Hierarchy of Needs, Pyramid Diagram, elements: Pyramid structure with five layers labeled from bottom to top: Physiological needs, Safety needs, Love and belonging, Esteem, Self-actualization, with descriptions of each need.","Maslow's Hierarchy of Needs, Pyramid Diagram, elements: Pyramid structure with five layers labeled from bottom to top: Physiological needs, Safety needs, Love and belonging, Esteem, Self-actualization, with descriptions of each need. [Visual Analysis: dense, complex | Nodes: 5, Edges: 98]",dense,complex
"Kohlberg's Stages of Moral Development, , elements: Title at the top; silhouettes of a child, adolescent, and adult representing different stages of moral development.","Kohlberg's Stages of Moral Development, , elements: Title at the top; silhouettes of a child, adolescent, and adult representing different stages of moral development. [Visual Analysis: network, complex | Nodes: 28, Edges: 82]",network,complex
"Employer Reviews on Kununu and Herzberg's Two-Factor Theory, Comparison Diagram, elements: Left side features Kununu reviews with ratings and categories like Career Development and Teamwork, while the right side displays Herzberg's theory categorized into Motivation Factors (with elements like Career Advancement) and Hygiene Factors (featuring Peer Relationships), with satisfaction gradient illustrated.","Employer Reviews on Kununu and Herzberg's Two-Factor Theory, Comparison Diagram, elements: Left side features Kununu reviews with ratings and categories like Career Development and Teamwork, while the right side displays Herzberg's theory categorized into Motivation Factors (with elements like Career Advancement) and Hygiene Factors (featuring Peer Relationships), with satisfaction gradient illustrated. [Visual Analysis: network, complex | Nodes: 42, Edges: 258]",network,complex
"Stages of Psychosocial Development, Circular Diagram, elements: Circular layout with labeled segments representing different life stages: Early Childhood, Infancy, Preschool, School Age, Adolescence, Young Adulthood, Middle Adulthood, and Maturity, each with associated conflicts.","Stages of Psychosocial Development, Circular Diagram, elements: Circular layout with labeled segments representing different life stages: Early Childhood, Infancy, Preschool, School Age, Adolescence, Young Adulthood, Middle Adulthood, and Maturity, each with associated conflicts. [Visual Analysis: empty, complex | Nodes: 0, Edges: 247]",empty,complex
"Bloom's Taxonomy Verbs, Grid, elements: A grid layout with six columns labeled: Remember, Understand, Apply, Analyze, Evaluate, and Create. Each column contains lists of verbs associated with each cognitive level.","Bloom's Taxonomy Verbs, Grid, elements: A grid layout with six columns labeled: Remember, Understand, Apply, Analyze, Evaluate, and Create. Each column contains lists of verbs associated with each cognitive level. [Visual Analysis: sparse, complex | Nodes: 72, Edges: 236]",sparse,complex
"Bandura's Social Learning Theory, Flow Diagram, elements: Four key components labeled: Attention, Retention, Reproduction, and Motivation, illustrated with icons; graphical representation of social learning process.","Bandura's Social Learning Theory, Flow Diagram, elements: Four key components labeled: Attention, Retention, Reproduction, and Motivation, illustrated with icons; graphical representation of social learning process. [Visual Analysis: network, complex | Nodes: 33, Edges: 217]",network,complex
"Shared Values in Organization, Circular Flow Diagram, elements: Circle divided into six segments labeled: Structures, Systems, Skills, Shared Values, Style, and Staffing, with 'Shared Values' at the center.","Shared Values in Organization, Circular Flow Diagram, elements: Circle divided into six segments labeled: Structures, Systems, Skills, Shared Values, Style, and Staffing, with 'Shared Values' at the center. [Visual Analysis: sparse, moderate | Nodes: 1, Edges: 12]",sparse,moderate
"SWOT Analysis Template, Grid, elements: Four sections labeled Strengths, Weaknesses, Opportunities, and Threats, each with blank space for notes, arranged in a grid format.","SWOT Analysis Template, Grid, elements: Four sections labeled Strengths, Weaknesses, Opportunities, and Threats, each with blank space for notes, arranged in a grid format. [Visual Analysis: dense, complex | Nodes: 6, Edges: 49]",dense,complex
"Two Factor Theory Model, Flowchart, elements: Two descending arrows labeled 'Poor Hygiene' and 'Motivating Factors' pointing towards descriptions: Poor Hygiene decreases job satisfaction, while Motivating Factors increase it.","Two Factor Theory Model, Flowchart, elements: Two descending arrows labeled 'Poor Hygiene' and 'Motivating Factors' pointing towards descriptions: Poor Hygiene decreases job satisfaction, while Motivating Factors increase it. [Visual Analysis: dense, complex | Nodes: 16, Edges: 68]",dense,complex
"PESTLE Analysis Template, Grid, elements: Six vertical columns labeled Political, Economic, Sociological, Technological, Legal, and Environmental, with each column containing placeholder text.","PESTLE Analysis Template, Grid, elements: Six vertical columns labeled Political, Economic, Sociological, Technological, Legal, and Environmental, with each column containing placeholder text. [Visual Analysis: dense, complex | Nodes: 8, Edges: 155]",dense,complex
"Big Five Personality Traits, Circular Diagram, elements: Central circle labeled 'Personality' surrounded by five circles labeled: 'Openness', 'Conscientiousness', 'Neuroticism', 'Agreeableness', and 'Extroversion', with arrows indicating relationships between them.","Big Five Personality Traits, Circular Diagram, elements: Central circle labeled 'Personality' surrounded by five circles labeled: 'Openness', 'Conscientiousness', 'Neuroticism', 'Agreeableness', and 'Extroversion', with arrows indicating relationships between them. [Visual Analysis: dense, complex | Nodes: 13, Edges: 63]",dense,complex
"Money Market and IS-LM Model, Combination of Money Market and IS-LM Diagram, elements: Left diagram shows downward sloping demand curves (D_M1, D_M2, D_M3) for money against quantity of money (Q_M) and a supply curve (S_M); right diagram displays two LM curves (LM1, LM2) and an IS curve, intersecting to show equilibrium points in the GDP-interest rate space.","Money Market and IS-LM Model, Combination of Money Market and IS-LM Diagram, elements: Left diagram shows downward sloping demand curves (D_M1, D_M2, D_M3) for money against quantity of money (Q_M) and a supply curve (S_M); right diagram displays two LM curves (LM1, LM2) and an IS curve, intersecting to show equilibrium points in the GDP-interest rate space. [Visual Analysis: dense, complex | Nodes: 11, Edges: 35]",dense,complex
"Big Five Personality Traits, Hierarchy, elements: Central title 'BIG FIVE PERSONALITY TRAITS' with five branches labeled: Agreeableness, Openness to Experience, Extraversion, Conscientiousness, and Neuroticism, each accompanied by relevant icons.","Big Five Personality Traits, Hierarchy, elements: Central title 'BIG FIVE PERSONALITY TRAITS' with five branches labeled: Agreeableness, Openness to Experience, Extraversion, Conscientiousness, and Neuroticism, each accompanied by relevant icons. [Visual Analysis: dense, complex | Nodes: 22, Edges: 162]",dense,complex
"Porter's Five Forces, Infographic, elements: Five circular icons representing the forces: rivalry among competitors, threat of new entrants, bargaining power of buyers, threat of substitute products, and bargaining power of suppliers, each accompanied by concise descriptions.","Porter's Five Forces, Infographic, elements: Five circular icons representing the forces: rivalry among competitors, threat of new entrants, bargaining power of buyers, threat of substitute products, and bargaining power of suppliers, each accompanied by concise descriptions. [Visual Analysis: sparse, complex | Nodes: 52, Edges: 182]",sparse,complex
"Iterative Product Development Cycle, Circular Flow Diagram, elements: Circular diagram with seven segments numbered 1 to 7, detailing stages: Ideation, Prototyping, Testing, Analysis, Refinement, Implementation, and a Feedback Loop, with each stage corresponding to specific colors.","Iterative Product Development Cycle, Circular Flow Diagram, elements: Circular diagram with seven segments numbered 1 to 7, detailing stages: Ideation, Prototyping, Testing, Analysis, Refinement, Implementation, and a Feedback Loop, with each stage corresponding to specific colors. [Visual Analysis: dense, complex | Nodes: 20, Edges: 111]",dense,complex
"Differences between Engineering Design Process and Scientific Method, Comparison Diagram, elements: Two-column layout with 'Engineering Design Process' on the left listing 'Problem', 'Requirements', 'Many Solutions, Ideas', 'Build, Create' and 'Scientific Method' on the right listing 'Question', 'Hypothesis, Variables', 'Establish Procedure', 'Test, Retest'.","Differences between Engineering Design Process and Scientific Method, Comparison Diagram, elements: Two-column layout with 'Engineering Design Process' on the left listing 'Problem', 'Requirements', 'Many Solutions, Ideas', 'Build, Create' and 'Scientific Method' on the right listing 'Question', 'Hypothesis, Variables', 'Establish Procedure', 'Test, Retest'. [Visual Analysis: empty, complex | Nodes: 0, Edges: 213]",empty,complex
"Keynesian Aggregate Supply and Demand, Graph, elements: X-axis labeled 'Y' (output) and 'Y''; Y-axis labeled 'P' (price level); two downward sloping lines representing 'AD' (Aggregate Demand) and 'AD''; an upward sloping 'Keynesian AS' curve; annotations indicating NGDP rule with arrows labeled 1 and 2.","Keynesian Aggregate Supply and Demand, Graph, elements: X-axis labeled 'Y' (output) and 'Y''; Y-axis labeled 'P' (price level); two downward sloping lines representing 'AD' (Aggregate Demand) and 'AD''; an upward sloping 'Keynesian AS' curve; annotations indicating NGDP rule with arrows labeled 1 and 2. [Visual Analysis: dense, complex | Nodes: 6, Edges: 32]",dense,complex
"Balanced Scorecard, Network Diagram, elements: Four quadrants labeled: Financial, Customer, Internal Business, Innovation & Learning, with a central box labeled 'Vision and Strategy' connecting them, each quadrant includes 'Goal' and 'Measure' sections.","Balanced Scorecard, Network Diagram, elements: Four quadrants labeled: Financial, Customer, Internal Business, Innovation & Learning, with a central box labeled 'Vision and Strategy' connecting them, each quadrant includes 'Goal' and 'Measure' sections. [Visual Analysis: dense, complex | Nodes: 13, Edges: 175]",dense,complex
"RAPID Decision-Making Process, Flowchart, elements: Top-down flow showing five roles: Input, Recommend, Agree, Decide, Perform, each with descriptions of their responsibilities.","RAPID Decision-Making Process, Flowchart, elements: Top-down flow showing five roles: Input, Recommend, Agree, Decide, Perform, each with descriptions of their responsibilities. [Visual Analysis: empty, complex | Nodes: 0, Edges: 169]",empty,complex
"Strategic Objectives and Initiatives, Table, elements: Four rows representing different perspectives: Financial, Customer, Internal Business Processes, Learning & Growth, with columns for Objectives, Measures, Targets, and Initiatives detailing specific goals and actions.","Strategic Objectives and Initiatives, Table, elements: Four rows representing different perspectives: Financial, Customer, Internal Business Processes, Learning & Growth, with columns for Objectives, Measures, Targets, and Initiatives detailing specific goals and actions. [Visual Analysis: dense, complex | Nodes: 2, Edges: 180]",dense,complex
"Stages of Moral Development, Pyramid Diagram, elements: Pyramid with labeled stages: Punishment and compliance-oriented, Instrumental purpose orientation, Good Boy/Nice Girl Orientation, Law & Order Morality, Social Contract Orientation, Universal Ethical Principles Orientation; levels indicated as Pre-Conventional, Conventional, and Post-Conventional.","Stages of Moral Development, Pyramid Diagram, elements: Pyramid with labeled stages: Punishment and compliance-oriented, Instrumental purpose orientation, Good Boy/Nice Girl Orientation, Law & Order Morality, Social Contract Orientation, Universal Ethical Principles Orientation; levels indicated as Pre-Conventional, Conventional, and Post-Conventional. [Visual Analysis: dense, complex | Nodes: 15, Edges: 54]",dense,complex
"Active Learning Framework for Trash Detection, Flowchart, elements: Flowchart with multiple devices (computers, phones) connected to a central database, arrows indicating data flow, and labeled steps for data collection and processing.","Active Learning Framework for Trash Detection, Flowchart, elements: Flowchart with multiple devices (computers, phones) connected to a central database, arrows indicating data flow, and labeled steps for data collection and processing. [Visual Analysis: sparse, complex | Nodes: 34, Edges: 103]",sparse,complex
"Impact Factors in Supply Chain Stages, Flow Diagram, elements: Three horizontal segments labeled 'Upstream,' 'Operations,' and 'Downstream,' each with bullet points detailing Economic, Environmental, and Societal factors associated with each stage.","Impact Factors in Supply Chain Stages, Flow Diagram, elements: Three horizontal segments labeled 'Upstream,' 'Operations,' and 'Downstream,' each with bullet points detailing Economic, Environmental, and Societal factors associated with each stage. [Visual Analysis: dense, complex | Nodes: 27, Edges: 205]",dense,complex
"ZPD and Scaffolding, Venn Diagram, elements: Three overlapping circles with labels: 'What I can learn on my own', 'What I can learn with help (ZPD)', and 'Beyond my reach'. Two additional elements outside the circles labeled 'Knowledgeable others' and 'Technology and tools'.","ZPD and Scaffolding, Venn Diagram, elements: Three overlapping circles with labels: 'What I can learn on my own', 'What I can learn with help (ZPD)', and 'Beyond my reach'. Two additional elements outside the circles labeled 'Knowledgeable others' and 'Technology and tools'. [Visual Analysis: dense, complex | Nodes: 20, Edges: 233]",dense,complex
"Difference Between Demand and Supply Models, Intersection Graph, elements: Two curves representing Demand (purple) and Aggregate Supply (red) intersecting at the Total Supply point, with axes labeled as Price Level (vertical) and Economic Output (Real GDP) (horizontal).","Difference Between Demand and Supply Models, Intersection Graph, elements: Two curves representing Demand (purple) and Aggregate Supply (red) intersecting at the Total Supply point, with axes labeled as Price Level (vertical) and Economic Output (Real GDP) (horizontal). [Visual Analysis: dense, complex | Nodes: 16, Edges: 93]",dense,complex
"Behaviorism, Circular Flow Diagram, elements: Three interconnected circles labeled 'Antecedents', 'Behavior', and 'Consequences', with arrows indicating flow. Additional text at the top specifies 'The A-B-C of Behavioural Learning' and credits four authors at the center.","Behaviorism, Circular Flow Diagram, elements: Three interconnected circles labeled 'Antecedents', 'Behavior', and 'Consequences', with arrows indicating flow. Additional text at the top specifies 'The A-B-C of Behavioural Learning' and credits four authors at the center. [Visual Analysis: dense, complex | Nodes: 19, Edges: 119]",dense,complex
"Learning Theories, List Diagram, elements: Horizontal layout of colored boxes representing different learning theories: Behaviourist, Cognitivist, Constructivist (with a bullet point for Social constructivist), and Transformative.","Learning Theories, List Diagram, elements: Horizontal layout of colored boxes representing different learning theories: Behaviourist, Cognitivist, Constructivist (with a bullet point for Social constructivist), and Transformative. [Visual Analysis: dense, complex | Nodes: 3, Edges: 145]",dense,complex
"Software Development Life Cycle, Circular Flow Diagram, elements: Circular layout with labeled nodes: Planning, Engineering, Documentation, Design, Development, Testing, Deployment, and Maintenance, each with brief descriptions.","Software Development Life Cycle, Circular Flow Diagram, elements: Circular layout with labeled nodes: Planning, Engineering, Documentation, Design, Development, Testing, Deployment, and Maintenance, each with brief descriptions. [Visual Analysis: dense, complex | Nodes: 14, Edges: 79]",dense,complex
"Constructivism in Learning, , elements: Silhouette of a head with a block structure inside, representing knowledge construction; text above states 'Constructivism' and a description below about learners actively constructing knowledge.","Constructivism in Learning, , elements: Silhouette of a head with a block structure inside, representing knowledge construction; text above states 'Constructivism' and a description below about learners actively constructing knowledge. [Visual Analysis: network, complex | Nodes: 21, Edges: 71]",network,complex
"ADDIE Model, Circular Flow Diagram, elements: Five segments arranged in a circular flow: Analyze, Design, Develop, Implement, Evaluate, each with descriptive text explaining the step's purpose.","ADDIE Model, Circular Flow Diagram, elements: Five segments arranged in a circular flow: Analyze, Design, Develop, Implement, Evaluate, each with descriptive text explaining the step's purpose. [Visual Analysis: network, complex | Nodes: 34, Edges: 245]",network,complex
"Change Management Process, Flowchart, elements: Three main phases labeled: Unfreeze, Change, Refreeze. Each phase contains bullet points detailing specific actions, with corresponding icons representing each phase.","Change Management Process, Flowchart, elements: Three main phases labeled: Unfreeze, Change, Refreeze. Each phase contains bullet points detailing specific actions, with corresponding icons representing each phase. [Visual Analysis: sparse, complex | Nodes: 50, Edges: 107]",sparse,complex
"The Rational Decision Making Process, Circular Flow Diagram, elements: Circular layout with labeled stages: Need Recognition, Information Search, Evaluation of Alternatives, Purchase, Post-Purchase, all connected with arrows indicating the decision-making flow.","The Rational Decision Making Process, Circular Flow Diagram, elements: Circular layout with labeled stages: Need Recognition, Information Search, Evaluation of Alternatives, Purchase, Post-Purchase, all connected with arrows indicating the decision-making flow. [Visual Analysis: network, complex | Nodes: 23, Edges: 73]",network,complex
"Public Products Value Chain Analysis, Flow Diagram, elements: Horizontal sections for management processes with labels: Integration and Distribution Management, Resources Management, Online and Offline Channels Management, Staff Training and Development. Below, a table with categories like Production Department, Local Trading, Packaging Products, and Distribution/Delivery, indicating export processes.","Public Products Value Chain Analysis, Flow Diagram, elements: Horizontal sections for management processes with labels: Integration and Distribution Management, Resources Management, Online and Offline Channels Management, Staff Training and Development. Below, a table with categories like Production Department, Local Trading, Packaging Products, and Distribution/Delivery, indicating export processes. [Visual Analysis: dense, complex | Nodes: 23, Edges: 149]",dense,complex
"Stages of Psychosexual Development, Flow Diagram, elements: Vertical flow with five stages labeled: Oral, Anal, Phallic, Latent, Genital, each connected by arrows; descriptions of each stage's source of pleasure on the right.","Stages of Psychosexual Development, Flow Diagram, elements: Vertical flow with five stages labeled: Oral, Anal, Phallic, Latent, Genital, each connected by arrows; descriptions of each stage's source of pleasure on the right. [Visual Analysis: network, complex | Nodes: 41, Edges: 170]",network,complex
"Five Forces Analysis, Network Diagram, elements: Central circle labeled 'Rivalry Among Existing Competitors' with four surrounding circles: 'Threat of New Entrants', 'Threat of Substitutes', 'Bargaining Power of Suppliers', and 'Bargaining Power of Buyers'. Each circle contains bullet points detailing specific factors influencing the respective force.","Five Forces Analysis, Network Diagram, elements: Central circle labeled 'Rivalry Among Existing Competitors' with four surrounding circles: 'Threat of New Entrants', 'Threat of Substitutes', 'Bargaining Power of Suppliers', and 'Bargaining Power of Buyers'. Each circle contains bullet points detailing specific factors influencing the respective force. [Visual Analysis: sparse, complex | Nodes: 91, Edges: 281]",sparse,complex
"Zone of Proximal Development, , elements: Central title 'Zone of Proximal Development' with two columns labeled 'What is Known' and 'What is not Known', and a horizontal arrow labeled 'Learning' connecting the two columns.","Zone of Proximal Development, , elements: Central title 'Zone of Proximal Development' with two columns labeled 'What is Known' and 'What is not Known', and a horizontal arrow labeled 'Learning' connecting the two columns. [Visual Analysis: sparse, complex | Nodes: 60, Edges: 234]",sparse,complex
"ADDIE Model for Instructional Design, Circular Flow Diagram, elements: Circular arrangement with five phases: Analysis (pink), Design (green), Development (light blue), Implementation (purple), and Evaluation (orange), with arrows indicating the flow direction.","ADDIE Model for Instructional Design, Circular Flow Diagram, elements: Circular arrangement with five phases: Analysis (pink), Design (green), Development (light blue), Implementation (purple), and Evaluation (orange), with arrows indicating the flow direction. [Visual Analysis: dense, complex | Nodes: 4, Edges: 292]",dense,complex
"McGregor's Theory X and Theory Y, Comparison Diagram, elements: Two columns with headers 'Theory X' and 'Theory Y'. Each column has management and staff labels, with descriptive text underneath explaining the characteristics of each theory.","McGregor's Theory X and Theory Y, Comparison Diagram, elements: Two columns with headers 'Theory X' and 'Theory Y'. Each column has management and staff labels, with descriptive text underneath explaining the characteristics of each theory. [Visual Analysis: network, complex | Nodes: 20, Edges: 60]",network,complex
"Porter's Five Forces Model, Circular Diagram, elements: Central circle labeled 'Porter's Five Forces Model' surrounded by five circles representing the forces: 'Threat of new entrants', 'Bargaining power of suppliers', 'Bargaining power of buyers', 'Rivalry among existing competitors', and 'Threat of substitution'.","Porter's Five Forces Model, Circular Diagram, elements: Central circle labeled 'Porter's Five Forces Model' surrounded by five circles representing the forces: 'Threat of new entrants', 'Bargaining power of suppliers', 'Bargaining power of buyers', 'Rivalry among existing competitors', and 'Threat of substitution'. [Visual Analysis: dense, complex | Nodes: 9, Edges: 60]",dense,complex
"Kubler-Ross Change Curve, Line Graph, elements: Curved line depicting stages: Shock, Rejection, Setback, Sad, Experiment, Decision, and Integration, with morale and confidence increasing over time.","Kubler-Ross Change Curve, Line Graph, elements: Curved line depicting stages: Shock, Rejection, Setback, Sad, Experiment, Decision, and Integration, with morale and confidence increasing over time. [Visual Analysis: network, complex | Nodes: 29, Edges: 93]",network,complex
"The Engineering Design Process, Circular Diagram, elements: Eight colored circles connected in a circular flow, each labeled with a step: Define the Problem, Define the Constraints and Criteria, Research, Brainstorm, Evaluate and Choose the Best Solution, Design, Build and Test a Prototype, Repeat and Communicate Results.","The Engineering Design Process, Circular Diagram, elements: Eight colored circles connected in a circular flow, each labeled with a step: Define the Problem, Define the Constraints and Criteria, Research, Brainstorm, Evaluate and Choose the Best Solution, Design, Build and Test a Prototype, Repeat and Communicate Results. [Visual Analysis: dense, complex | Nodes: 37, Edges: 451]",dense,complex
"Continuous Integration Process, Flowchart, elements: Flowchart with elements: Developers check-in/check-out code, CI status decision diamond, sending notifications, and build process indicated on the right with outputs to a CI server.","Continuous Integration Process, Flowchart, elements: Flowchart with elements: Developers check-in/check-out code, CI status decision diamond, sending notifications, and build process indicated on the right with outputs to a CI server. [Visual Analysis: dense, complex | Nodes: 14, Edges: 148]",dense,complex
"Big 5 Personality Traits (OCEAN), Funnel Diagram, elements: Funnel shape with five segments labeled: Openness, Conscientiousness, Extraversion, Agreeableness, and Neuroticism, each accompanied by a description of elements relevant to business purposes and goals.","Big 5 Personality Traits (OCEAN), Funnel Diagram, elements: Funnel shape with five segments labeled: Openness, Conscientiousness, Extraversion, Agreeableness, and Neuroticism, each accompanied by a description of elements relevant to business purposes and goals. [Visual Analysis: sparse, complex | Nodes: 42, Edges: 110]",sparse,complex
"Vision and Strategy Framework, Network Diagram, elements: Central box labeled 'VISION & STRATEGY' surrounded by four colored boxes labeled 'FINANCIAL', 'CUSTOMER', 'INTERNAL', and 'INNOVATION', each containing sections for 'Objectives', 'Measures', 'Targets', and 'Initiatives'. Arrows connect the central box to each quadrant.","Vision and Strategy Framework, Network Diagram, elements: Central box labeled 'VISION & STRATEGY' surrounded by four colored boxes labeled 'FINANCIAL', 'CUSTOMER', 'INTERNAL', and 'INNOVATION', each containing sections for 'Objectives', 'Measures', 'Targets', and 'Initiatives'. Arrows connect the central box to each quadrant. [Visual Analysis: dense, complex | Nodes: 20, Edges: 239]",dense,complex
"Types of Defects, Stacked List, elements: Three horizontal sections labeled 'Design Defects', 'Manufacturing Defects', and 'Marketing Defects', each with distinct background colors and numbered from 1 to 3.","Types of Defects, Stacked List, elements: Three horizontal sections labeled 'Design Defects', 'Manufacturing Defects', and 'Marketing Defects', each with distinct background colors and numbered from 1 to 3. [Visual Analysis: dense, complex | Nodes: 3, Edges: 92]",dense,complex
"ADDIE Model - Analysis Phase, Flow Diagram, elements: Steps labeled A, D, D, I, E arranged in a forward-moving pattern, with '1. Analysis' prominently displayed at the top, and a descriptive text below explaining the purpose of the analysis.","ADDIE Model - Analysis Phase, Flow Diagram, elements: Steps labeled A, D, D, I, E arranged in a forward-moving pattern, with '1. Analysis' prominently displayed at the top, and a descriptive text below explaining the purpose of the analysis. [Visual Analysis: network, moderate | Nodes: 14, Edges: 25]",network,moderate
"VARK Learning Styles, Circular Diagram, elements: Four quadrants labeled: Visual, Auditory, Read/Write, Kinesthetic, with corresponding icons representing each style.","VARK Learning Styles, Circular Diagram, elements: Four quadrants labeled: Visual, Auditory, Read/Write, Kinesthetic, with corresponding icons representing each style. [Visual Analysis: dense, complex | Nodes: 26, Edges: 281]",dense,complex
"Three Presences in Educational Experience, Venn Diagram, elements: Three overlapping circles labeled 'Social Presence', 'Cognitive Presence', and 'Teaching Presence', with the central area labeled 'Educational Experience'. Each circle has supporting text: 'Supporting Discourse' for Social, 'Selecting Content' for Cognitive, and 'Setting Climate' for Teaching.","Three Presences in Educational Experience, Venn Diagram, elements: Three overlapping circles labeled 'Social Presence', 'Cognitive Presence', and 'Teaching Presence', with the central area labeled 'Educational Experience'. Each circle has supporting text: 'Supporting Discourse' for Social, 'Selecting Content' for Cognitive, and 'Setting Climate' for Teaching. [Visual Analysis: empty, complex | Nodes: 0, Edges: 104]",empty,complex
